tconst,watched,priority,netflix,prime
tt1483013,1,0,,
tt14846026,1,1,,
tt14849194,1,0,,
tt14866710,0,0,1,0
tt1490017,1,0,,
tt14966898,1,0,,
tt1499658,1,0,,
tt14998742,0,1,,
tt15009428,0,1,,
tt1504320,1,0,,
tt1515091,1,0,,
tt1517268,1,0,,
tt15239678,1,1,,
tt15314262,0,0,,
tt15318872,0,0,0,0
tt15320362,0,1,,
tt15339456,0,0,0,0
tt1535109,1,0,,
tt15352516,0,0,,
tt15374070,1,0,,
tt15398776,1,1,0,0
tt15452062,1,0,,
tt15471560,0,1,,
tt1560220,1,0,,
tt15782690,1,0,,
tt15799866,0,0,,
tt15843316,0,0,,
tt1596343,1,0,,
tt16118722,0,0,0,0
tt1612774,1,0,,
tt1615160,0,0,0,0
tt16257866,0,0,,
tt16277242,0,0,,
tt1628841,0,0,,
tt1630029,1,0,,
tt16300962,0,0,,
tt1631867,1,0,,
tt1633359,0,0,,
tt1638355,1,0,,
tt16419074,1,0,,
tt16431966,0,0,,
tt1645170,1,0,,
tt1649418,0,0,1,0
tt1649419,0,0,0,1
tt16606592,0,0,,
tt1663202,1,0,,
tt1675434,1,0,,
tt1677720,1,0,0,0
tt1684562,1,1,,
tt16968450,0,0,,
tt1700841,1,0,0,
tt17024450,1,0,,
tt17044106,0,0,,
tt1706620,1,0,,
tt17076046,0,0,0,0
tt17220216,0,0,,
tt17279496,1,0,,
tt17309864,1,0,,
tt1745960,1,0,,
tt1748122,1,0,,
tt17569526,0,0,,
tt17632862,0,0,,
tt1772341,1,0,,
tt1798709,1,0,,
tt1800302,1,0,1,
tt1815862,1,0,,
tt18257464,0,0,,
tt18298588,0,0,,
tt18335752,0,0,,
tt1846589,1,0,,
tt1853728,1,0,,
tt1856101,1,1,,
tt1860242,1,0,,
tt1896747,1,0,,
tt1905041,1,0,,
tt1907668,1,0,,
tt1912398,1,0,,
tt1921064,1,0,,
tt19356262,0,1,,
tt19395018,0,1,,
tt1950186,0,0,,
tt1959563,1,0,,
tt19623228,0,0,,
tt19719904,1,0,0,0
tt1979320,1,0,,
tt1981115,1,0,,
tt19883634,1,0,,
tt2005151,1,0,,
tt20112600,0,1,,
tt20114686,0,0,,
tt2015381,1,0,,
tt20225374,0,0,0,0
tt20330434,0,0,,
tt20420628,0,0,,
tt20465746,1,0,,
tt20873160,0,0,,
tt20916568,0,0,,
tt2096672,1,0,,
tt2103281,0,0,,
tt2106476,1,0,,
tt21113540,1,0,,
tt21188080,0,1,,
tt21192142,1,0,,
tt2119532,1,0,,
tt21237030,0,0,1,0
tt2126355,1,0,,
tt2140479,1,0,,
tt2140507,1,0,,
tt21434318,0,0,,
tt21454134,1,0,,
tt21810682,0,0,,
tt21867434,1,1,,
tt21909682,1,0,,
tt21942866,0,1,,
tt22022452,1,0,,
tt2209764,1,0,,
tt2231461,1,0,,
tt2238032,0,0,0,0
tt2239822,0,0,0,1
tt2267998,1,0,0,1
tt22687790,1,0,,
tt22688572,0,0,,
tt2278388,1,0,,
tt2278871,0,0,0,0
tt2283362,1,0,,
tt2294473,0,0,0,0
tt23004264,1,0,,
tt2310332,1,0,,
tt23181388,0,1,,
tt23289160,0,0,,
tt23329452,0,0,,
tt2358891,1,0,1,0
tt23724682,0,0,,
tt23736044,1,0,,
tt23793170,1,0,,
tt2381249,1,0,,
tt2395427,1,0,,
tt2396589,0,0,1,0
tt2400463,0,0,0,0
tt2401878,1,0,,
tt2406566,1,0,,
tt24083908,0,0,,
tt2409302,0,0,0,0
tt24216998,0,0,,
tt25289836,0,0,,
tt2543164,1,0,,
tt25434854,0,0,,
tt2557490,0,0,1,0
tt2562232,1,0,,
tt2582802,0,0,,
tt2584384,1,0,0,0
tt2640044,0,1,,
tt26915336,1,1,,
tt27503384,1,0,,
tt2762506,0,0,0,0
tt2763304,1,0,,
tt27695005,0,1,,
tt2788710,1,0,,
